times,lat,longs,prof,mssn,vr,profnew,mo,mw,mxx,mxy,mxz,myy,myz,mzz,strike1,dip1,rake1,strike2,dip2,rake2,CLVD,sta_num
2000-12-01 14:07:45,17.94,-102.59,16,5.5,62.64,16,5.952E+023,5.1,-4400.43,-2420.23,-1400.64,-1418.72,-54.263,5819.15,293,51,83,125,39,99,4,3
2000-10-28 12:18:45,16.65,-100.58,15,4.2,57.55,12,7.429E+021,3.9,-63.274,-50.642,2.498,5.268,-2.357,58.006,111,46,80,305,45,100,70,3
2000-09-29 15:06:45,15.65,-96.23,5,4.4,63.36,16,6.217E+021,3.8,-40.686,-13.737,30.787,39.888,-34.315,0.798,53,88,47,321,43,177,29,3
2000-08-31 00:48:14,15.8,-98.42,10,4.4,68.06,2,4.671E+022,4.4,-61.62,-214.771,-247.69,-148.527,-292.238,210.148,320,73,89,143,17,93,43,1
2000-08-25 07:44:29,15.96,-98.59,10,4.4,58.12,12,1.365E+022,4.1,-3.678,-125.022,24.852,-58.797,-16.113,62.475,100,70,23,2,69,158,57,3
2000-07-21 10:48:56,17.05,-101.66,18,4.1,55.7,18,4.139E+021,3.7,-46.711,-0.31,5.037,34.594,4.928,12.117,134,85,168,226,78,5,49,3
2000-07-21 06:13:40,18.09,-98.97,47,5.9,84,64,8.696E+024,5.9,47523.4,37637.7,-54318,9955.62,21446.4,-57479.1,92,67,-119,327,37,-41,24,3
2000-07-05 15:08:28,17.03,-100.54,32,4.2,66.5,22,3.205E+021,3.6,-11.733,6.999,-27.061,5.073,-12.024,6.66,290,84,110,36,21,17,11,3
2000-07-01 23:12:58,17.46,-92.91,5,4.3,75.21,14,9.478E+021,4,-79.533,5.885,-1.952,-23.043,29.743,102.576,251,48,73,96,45,108,53,1
2000-06-30 09:20:52,17.73,-103.04,12,4.5,67.33,20,4.324E+022,4.4,-236.537,200.09,98.234,220.64,350.496,15.897,205,77,36,105,55,164,83,1
